TransactionID,ClientID,BirthYear,Amount,Profession,Risk
1,34982,2013.0,12900,9,1
2,34983,2015.0,1230,1,0
3,34984,1945.0,3450,9,2
4,34985,1923.0,5670,5,1
5,34986,1978.0,7890,3,0
6,34987,1967.0,10110,5,2
15,34987,1967.0,30090,5,1
22,34987,1967.0,18990,8,0
7,34988,1999.0,12330,5,2
23,34988,1999.0,25650,5,1
8,34989,1958.0,14550,3,0
24,34989,1967.0,27870,3,2
9,34990,1953.28571428571,16770,5,2
10,34991,1988.0,18990,0,1
30,34991,1988.0,55250,0,0
11,34992,1943.85714285714,21210,7,2
12,34993,1939.14285714286,23430,6,1
13,34994,2017.0,25650,2,2
14,34995,1999.0,27870,4,1
17,34998,1978.0,7890,9,2
18,34999,1988.0,10110,9,1
19,35000,1948.57142857143,12330,1,0
20,35001,1943.85714285714,14550,9,2
21,35002,1939.14285714286,16770,5,1
25,35006,1923.0,33050,3,0
26,35007,1999.0,37490,9,2
27,35008,1967.0,41930,0,1
28,35008,1967.0,46370,0,0
29,35008,1967.0,50810,0,2
